,9:00-10:00,10:00-11:00,11:00-12:00,12:00-1:00,1:00-2:00,2:00-3:00,3:00-4:00,4:00-5:00
room 1,BatchCS13_A_C3_1.0,BatchCS13_B_C6_1.0,______________________,______________________,BatchCS16_C_C1_1.0,BatchCS14_E_C6_1.0,BatchCS13_B_C5_1.0,BatchCS14_B_C3_1.0
room 2,BatchCS16_B_C4_1.5,BatchCS14_B_C1_1.0,BatchCS13_B_C2_1.0,______________________,BatchCS15_F_C6_1.0,BatchCS15_B_C4_1.0,BatchCS13_E_C5_1.0,BatchCS13_D_C6_1.0
room 3,______________________,BatchCS13_C_C2_1.0,BatchCS16_F_C5_1.0,______________________,______________________,BatchCS16_C_C3_1.0,______________________,BatchCS16_E_C2_1.5
room 4,BatchCS15_E_C2_1.0,______________________,BatchCS16_D_C5_1.0,BatchCS16_B_C6_1.0,______________________,BatchCS16_B_C2_1.5,______________________,BatchCS13_C_C1_1.0
room 5,BatchCS15_F_C5_1.0,______________________,BatchCS15_C_C4_1.0,BatchCS16_F_C3_1.0,______________________,BatchCS13_A_C1_1.0,BatchCS14_D_C6_1.0,______________________
room 6,BatchCS13_F_C2_1.0,______________________,BatchCS14_D_C1_1.0,______________________,BatchCS15_E_C1_1.0,______________________,______________________,______________________
room 7,BatchCS13_D_C1_1.0,______________________,BatchCS16_C_C5_1.0,BatchCS13_D_C1_1.0,BatchCS13_D_C2_1.0,BatchCS15_A_C1_1.0,BatchCS15_E_C6_1.0,BatchCS14_E_C3_1.0
room 8,BatchCS14_C_C4_1.0,______________________,BatchCS15_B_C6_1.0,BatchCS15_C_C6_1.0,______________________,BatchCS14_A_C4_1.5,BatchCS14_B_C5_1.5,______________________
room 9,BatchCS14_A_C1_1.0,BatchCS13_F_C5_1.0,______________________,BatchCS14_C_C2_1.0,______________________,BatchCS16_F_C1_1.0,BatchCS16_B_C2_1.5,BatchCS15_C_C3_1.0
room 10,BatchCS14_B_C6_1.0,BatchCS15_A_C5_1.5,BatchCS14_B_C2_1.0,BatchCS13_F_C4_1.0,BatchCS13_C_C3_1.0,______________________,BatchCS14_A_C2_1.5,BatchCS16_B_C3_1.0
room 11,BatchCS15_D_C6_1.5,______________________,______________________,______________________,BatchCS15_C_C5_1.0,BatchCS13_F_C3_1.0,BatchCS13_C_C2_1.0,BatchCS16_C_C1_1.0
room 12,______________________,BatchCS16_F_C6_1.0,BatchCS15_E_C5_1.0,BatchCS15_E_C3_1.0,BatchCS16_D_C3_1.0,BatchCS15_F_C3_1.0,______________________,BatchCS15_F_C3_1.0
room 13,BatchCS16_C_C6_1.0,BatchCS15_E_C4_1.0,BatchCS15_F_C2_1.0,______________________,BatchCS14_A_C5_1.0,BatchCS15_D_C6_1.5,______________________,______________________
room 14,______________________,______________________,BatchCS13_A_C5_1.0,______________________,BatchCS14_C_C5_1.0,BatchCS13_E_C6_1.0,BatchCS14_C_C1_1.0,______________________
room 15,BatchCS16_F_C3_1.0,______________________,BatchCS16_A_C4_1.5,______________________,______________________,BatchCS15_C_C2_1.0,______________________,______________________
room 1,BatchCS14_B_C2_1.0,______________________,BatchCS16_E_C1_1.5,______________________,BatchCS15_E_C2_1.0,______________________,BatchCS16_F_C3_1.0,______________________
room 2,BatchCS15_B_C2_1.0,BatchCS13_D_C6_1.0,______________________,BatchCS16_C_C6_1.0,______________________,______________________,BatchCS16_D_C2_1.5,______________________
room 3,______________________,______________________,BatchCS13_E_C4_1.0,______________________,BatchCS13_D_C4_1.0,______________________,BatchCS13_A_C5_1.0,BatchCS15_A_C1_1.0
room 4,BatchCS13_E_C5_1.0,BatchCS16_A_C3_1.0,BatchCS14_D_C5_1.0,BatchCS14_A_C3_1.5,______________________,BatchCS16_E_C6_1.0,BatchCS13_C_C4_1.0,______________________
room 5,______________________,______________________,BatchCS13_C_C6_1.0,BatchCS13_B_C6_1.0,BatchCS16_D_C4_1.0,BatchCS16_F_C4_1.0,______________________,______________________
room 6,______________________,BatchCS13_C_C2_1.0,BatchCS13_D_C3_1.0,______________________,BatchCS14_A_C1_1.0,______________________,BatchCS15_D_C1_1.5,BatchCS14_B_C3_1.0
room 7,BatchCS13_F_C4_1.0,BatchCS15_C_C5_1.0,BatchCS13_B_C1_1.5,BatchCS16_A_C3_1.0,BatchCS13_B_C4_1.5,______________________,BatchCS15_B_C6_1.0,BatchCS16_C_C2_1.5
room 8,BatchCS15_E_C6_1.0,BatchCS16_E_C3_1.5,______________________,BatchCS15_C_C3_1.0,______________________,BatchCS13_C_C1_1.0,______________________,BatchCS14_D_C2_1.0
room 9,______________________,BatchCS14_C_C6_1.5,______________________,BatchCS16_D_C3_1.0,BatchCS14_D_C4_1.0,BatchCS15_F_C6_1.0,BatchCS15_C_C4_1.0,______________________
room 10,BatchCS15_C_C1_1.0,BatchCS15_B_C6_1.0,BatchCS14_A_C5_1.0,BatchCS13_A_C1_1.0,______________________,BatchCS13_B_C4_1.5,______________________,BatchCS15_F_C5_1.0
room 11,______________________,BatchCS15_F_C2_1.0,BatchCS15_E_C2_1.0,BatchCS16_F_C1_1.0,______________________,______________________,BatchCS13_F_C6_1.0,BatchCS14_E_C4_1.5
room 12,______________________,BatchCS14_E_C2_1.0,BatchCS15_A_C4_1.0,______________________,BatchCS16_A_C1_1.0,BatchCS15_B_C4_1.0,BatchCS15_E_C1_1.0,BatchCS13_D_C1_1.0
room 13,BatchCS15_A_C4_1.0,BatchCS13_F_C1_1.0,BatchCS16_B_C5_1.0,BatchCS14_E_C4_1.5,______________________,BatchCS14_D_C6_1.0,BatchCS13_D_C6_1.0,BatchCS13_A_C6_1.5
room 14,BatchCS13_C_C3_1.0,BatchCS15_D_C2_1.5,______________________,BatchCS13_F_C2_1.0,BatchCS14_B_C1_1.0,BatchCS13_E_C5_1.0,BatchCS15_F_C2_1.0,BatchCS15_B_C2_1.0
room 15,BatchCS14_E_C5_1.0,______________________,BatchCS14_B_C1_1.0,BatchCS13_D_C2_1.0,______________________,BatchCS14_E_C2_1.0,BatchCS16_E_C6_1.0,______________________
room 1,BatchCS16_C_C6_1.0,BatchCS14_C_C1_1.0,______________________,BatchCS16_B_C3_1.0,BatchCS14_A_C5_1.0,BatchCS15_E_C1_1.0,BatchCS13_B_C5_1.0,BatchCS16_E_C2_1.5
room 2,______________________,BatchCS13_E_C6_1.0,BatchCS16_C_C3_1.0,BatchCS15_D_C4_1.5,______________________,BatchCS15_A_C3_1.0,______________________,BatchCS16_D_C5_1.0
room 3,BatchCS14_A_C6_1.0,______________________,______________________,BatchCS15_A_C3_1.0,BatchCS13_E_C1_1.0,BatchCS16_D_C1_1.5,______________________,BatchCS16_B_C1_1.0
room 4,BatchCS13_D_C3_1.0,BatchCS16_D_C2_1.5,______________________,BatchCS15_F_C6_1.0,BatchCS14_D_C2_1.0,______________________,BatchCS15_C_C2_1.0,______________________
room 5,BatchCS16_F_C2_1.0,BatchCS16_E_C5_1.0,BatchCS13_F_C6_1.0,______________________,BatchCS14_E_C3_1.0,______________________,______________________,______________________
room 6,BatchCS15_F_C5_1.0,BatchCS13_B_C3_1.0,BatchCS13_B_C2_1.0,BatchCS16_A_C4_1.5,______________________,BatchCS15_B_C1_1.0,BatchCS16_E_C4_1.0,BatchCS15_A_C4_1.0
room 7,BatchCS16_A_C1_1.0,______________________,BatchCS13_E_C4_1.0,BatchCS14_C_C2_1.0,BatchCS13_F_C6_1.0,______________________,BatchCS15_F_C4_1.0,BatchCS15_D_C5_1.5
room 8,BatchCS13_E_C1_1.0,BatchCS16_A_C2_1.5,______________________,______________________,______________________,BatchCS14_C_C5_1.0,BatchCS13_D_C5_1.0,______________________
room 9,BatchCS13_C_C5_1.0,BatchCS13_A_C4_1.0,______________________,______________________,BatchCS15_C_C6_1.0,______________________,BatchCS15_E_C5_1.0,______________________
room 10,BatchCS16_B_C5_1.0,BatchCS15_E_C3_1.0,BatchCS14_A_C2_1.5,______________________,______________________,BatchCS13_A_C4_1.0,BatchCS16_F_C2_1.0,BatchCS14_D_C3_1.5
room 11,BatchCS14_C_C5_1.0,BatchCS15_C_C2_1.0,BatchCS14_E_C5_1.0,______________________,BatchCS16_A_C5_1.0,BatchCS16_B_C1_1.0,______________________,BatchCS15_F_C1_1.0
